h,r,t,weight,comment
C_SyntheticConcept_011440,leadsTo,C_SyntheticConcept_011441,1.0,
C_SyntheticConcept_012346,leadsTo,C_SyntheticConcept_012457,1.0,
C_SyntheticConcept_015813,leadsTo,C_SyntheticConcept_015814,1.0,
C_SyntheticConcept_000914,leadsTo,C_SyntheticConcept_001025,1.0,
C_SyntheticConcept_018897,leadsTo,C_SyntheticConcept_018971,1.0,
C_SyntheticConcept_014203,leadsTo,C_SyntheticConcept_014277,1.0,
C_SyntheticConcept_006330,leadsTo,C_SyntheticConcept_006478,1.0,
C_SyntheticConcept_019745,leadsTo,C_SyntheticConcept_019856,1.0,
C_SyntheticConcept_016269,leadsTo,C_SyntheticConcept_016343,1.0,
C_SyntheticConcept_000950,leadsTo,C_SyntheticConcept_001135,1.0,
C_SyntheticConcept_015459,leadsTo,C_SyntheticConcept_015460,1.0,
C_SyntheticConcept_015978,leadsTo,C_SyntheticConcept_016163,1.0,
C_SyntheticConcept_012117,leadsTo,C_SyntheticConcept_012191,1.0,
C_SyntheticConcept_002412,leadsTo,C_SyntheticConcept_002486,1.0,
C_SyntheticConcept_005253,leadsTo,C_SyntheticConcept_005401,1.0,
C_SyntheticConcept_006751,leadsTo,C_SyntheticConcept_006899,1.0,
C_SyntheticConcept_005865,leadsTo,C_SyntheticConcept_006050,1.0,
C_SyntheticConcept_010813,leadsTo,C_SyntheticConcept_010814,1.0,
C_SyntheticConcept_014754,leadsTo,C_SyntheticConcept_014939,1.0,
C_SyntheticConcept_018853,leadsTo,C_SyntheticConcept_019038,1.0,
C_SyntheticConcept_000602,leadsTo,C_SyntheticConcept_000787,1.0,
C_SyntheticConcept_008765,leadsTo,C_SyntheticConcept_008839,1.0,
C_SyntheticConcept_014652,leadsTo,C_SyntheticConcept_014837,1.0,
C_SyntheticConcept_006232,leadsTo,C_SyntheticConcept_006343,1.0,
C_SyntheticConcept_018155,leadsTo,C_SyntheticConcept_018266,1.0,
C_SyntheticConcept_008915,leadsTo,C_SyntheticConcept_009100,1.0,
C_SyntheticConcept_009796,leadsTo,C_SyntheticConcept_009981,1.0,
C_SyntheticConcept_002359,leadsTo,C_SyntheticConcept_002544,1.0,
C_SyntheticConcept_019735,leadsTo,C_SyntheticConcept_019809,1.0,
C_SyntheticConcept_003077,leadsTo,C_SyntheticConcept_003225,1.0,
C_SyntheticConcept_001442,leadsTo,C_SyntheticConcept_001553,1.0,
C_SyntheticConcept_015384,leadsTo,C_SyntheticConcept_015495,1.0,
C_SyntheticConcept_018995,leadsTo,C_SyntheticConcept_018996,1.0,
C_SyntheticConcept_009561,leadsTo,C_SyntheticConcept_009672,1.0,
C_SyntheticConcept_003114,leadsTo,C_SyntheticConcept_003115,1.0,
C_SyntheticConcept_015934,leadsTo,C_SyntheticConcept_016082,1.0,
C_SyntheticConcept_003558,leadsTo,C_SyntheticConcept_003559,1.0,
C_SyntheticConcept_006622,leadsTo,C_SyntheticConcept_006770,1.0,
C_SyntheticConcept_004304,leadsTo,C_SyntheticConcept_004489,1.0,
C_SyntheticConcept_004642,leadsTo,C_SyntheticConcept_004753,1.0,
C_SyntheticConcept_000815,leadsTo,C_SyntheticConcept_000926,1.0,
C_SyntheticConcept_011147,leadsTo,C_SyntheticConcept_011258,1.0,
C_SyntheticConcept_013938,leadsTo,C_SyntheticConcept_014086,1.0,
C_SyntheticConcept_005801,leadsTo,C_SyntheticConcept_005912,1.0,
C_SyntheticConcept_018675,leadsTo,C_SyntheticConcept_018749,1.0,
C_SyntheticConcept_006847,leadsTo,C_SyntheticConcept_006995,1.0,
C_SyntheticConcept_019409,leadsTo,C_SyntheticConcept_019557,1.0,
C_SyntheticConcept_008625,leadsTo,C_SyntheticConcept_008773,1.0,
C_SyntheticConcept_018204,leadsTo,C_SyntheticConcept_018205,1.0,
C_SyntheticConcept_014832,leadsTo,C_SyntheticConcept_015017,1.0,
C_SyntheticConcept_007761,leadsTo,C_SyntheticConcept_007909,1.0,
C_SyntheticConcept_013296,leadsTo,C_SyntheticConcept_013407,1.0,
C_SyntheticConcept_016694,leadsTo,C_SyntheticConcept_016768,1.0,
C_SyntheticConcept_017715,leadsTo,C_SyntheticConcept_017826,1.0,
C_SyntheticConcept_012609,leadsTo,C_SyntheticConcept_012720,1.0,
C_SyntheticConcept_003038,leadsTo,C_SyntheticConcept_003223,1.0,
C_SyntheticConcept_000054,leadsTo,C_SyntheticConcept_000239,1.0,
C_SyntheticConcept_008119,leadsTo,C_SyntheticConcept_008230,1.0,
C_SyntheticConcept_016310,leadsTo,C_SyntheticConcept_016421,1.0,
C_SyntheticConcept_004247,leadsTo,C_SyntheticConcept_004432,1.0,
C_SyntheticConcept_011084,leadsTo,C_SyntheticConcept_011085,1.0,
C_SyntheticConcept_016872,leadsTo,C_SyntheticConcept_016946,1.0,
C_SyntheticConcept_015102,leadsTo,C_SyntheticConcept_015250,1.0,
C_SyntheticConcept_011563,leadsTo,C_SyntheticConcept_011711,1.0,
C_SyntheticConcept_018148,leadsTo,C_SyntheticConcept_018222,1.0,
C_SyntheticConcept_004768,leadsTo,C_SyntheticConcept_004879,1.0,
C_SyntheticConcept_001470,leadsTo,C_SyntheticConcept_001618,1.0,
C_SyntheticConcept_009120,leadsTo,C_SyntheticConcept_009194,1.0,
C_SyntheticConcept_008610,leadsTo,C_SyntheticConcept_008684,1.0,
C_SyntheticConcept_018684,leadsTo,C_SyntheticConcept_018869,1.0,
C_SyntheticConcept_018622,leadsTo,C_SyntheticConcept_018696,1.0,
C_SyntheticConcept_019753,leadsTo,C_SyntheticConcept_019827,1.0,
C_SyntheticConcept_019382,leadsTo,C_SyntheticConcept_019530,1.0,
C_SyntheticConcept_001704,leadsTo,C_SyntheticConcept_001705,1.0,
C_SyntheticConcept_006799,leadsTo,C_SyntheticConcept_006984,1.0,
C_SyntheticConcept_001469,leadsTo,C_SyntheticConcept_001617,1.0,
C_SyntheticConcept_007821,leadsTo,C_SyntheticConcept_008006,1.0,
C_SyntheticConcept_005962,leadsTo,C_SyntheticConcept_005963,1.0,
C_SyntheticConcept_017938,leadsTo,C_SyntheticConcept_018123,1.0,
C_SyntheticConcept_004851,leadsTo,C_SyntheticConcept_004925,1.0,
C_SyntheticConcept_004075,leadsTo,C_SyntheticConcept_004260,1.0,
C_SyntheticConcept_000307,leadsTo,C_SyntheticConcept_000492,1.0,
C_SyntheticConcept_008296,leadsTo,C_SyntheticConcept_008481,1.0,
C_SyntheticConcept_011341,leadsTo,C_SyntheticConcept_011526,1.0,
C_SyntheticConcept_003606,leadsTo,C_SyntheticConcept_003717,1.0,
C_SyntheticConcept_017938,leadsTo,C_SyntheticConcept_018086,1.0,
C_SyntheticConcept_007956,leadsTo,C_SyntheticConcept_008104,1.0,
C_SyntheticConcept_012702,leadsTo,C_SyntheticConcept_012850,1.0,
C_SyntheticConcept_000841,leadsTo,C_SyntheticConcept_000842,1.0,
C_SyntheticConcept_013595,leadsTo,C_SyntheticConcept_013596,1.0,
C_SyntheticConcept_001705,leadsTo,C_SyntheticConcept_001890,1.0,
C_SyntheticConcept_000832,leadsTo,C_SyntheticConcept_000906,1.0,
C_SyntheticConcept_012287,leadsTo,C_SyntheticConcept_012398,1.0,
C_SyntheticConcept_007153,leadsTo,C_SyntheticConcept_007301,1.0,
C_SyntheticConcept_016305,leadsTo,C_SyntheticConcept_016490,1.0,
C_SyntheticConcept_007520,leadsTo,C_SyntheticConcept_007631,1.0,
C_SyntheticConcept_017537,leadsTo,C_SyntheticConcept_017538,1.0,
C_SyntheticConcept_014781,leadsTo,C_SyntheticConcept_014929,1.0,
C_SyntheticConcept_000031,leadsTo,C_SyntheticConcept_000179,1.0,
C_SyntheticConcept_001888,leadsTo,C_SyntheticConcept_001889,1.0,
C_SyntheticConcept_011991,leadsTo,C_SyntheticConcept_012065,1.0,
C_SyntheticConcept_008283,leadsTo,C_SyntheticConcept_008357,1.0,
C_SyntheticConcept_016954,leadsTo,C_SyntheticConcept_017028,1.0,
C_SyntheticConcept_010979,leadsTo,C_SyntheticConcept_010980,1.0,
C_SyntheticConcept_004081,leadsTo,C_SyntheticConcept_004155,1.0,
C_SyntheticConcept_005327,leadsTo,C_SyntheticConcept_005475,1.0,
C_SyntheticConcept_016988,leadsTo,C_SyntheticConcept_017136,1.0,
C_SyntheticConcept_010765,leadsTo,C_SyntheticConcept_010766,1.0,
C_SyntheticConcept_005687,leadsTo,C_SyntheticConcept_005872,1.0,
C_SyntheticConcept_016917,leadsTo,C_SyntheticConcept_017065,1.0,
C_SyntheticConcept_003765,leadsTo,C_SyntheticConcept_003766,1.0,
C_SyntheticConcept_002419,leadsTo,C_SyntheticConcept_002493,1.0,
C_SyntheticConcept_010259,leadsTo,C_SyntheticConcept_010444,1.0,
C_SyntheticConcept_007382,leadsTo,C_SyntheticConcept_007383,1.0,
C_SyntheticConcept_014220,leadsTo,C_SyntheticConcept_014405,1.0,
C_SyntheticConcept_011903,leadsTo,C_SyntheticConcept_011904,1.0,
C_SyntheticConcept_016405,leadsTo,C_SyntheticConcept_016479,1.0,
C_SyntheticConcept_019057,leadsTo,C_SyntheticConcept_019058,1.0,
C_SyntheticConcept_019215,leadsTo,C_SyntheticConcept_019400,1.0,
C_SyntheticConcept_018704,leadsTo,C_SyntheticConcept_018815,1.0,
C_SyntheticConcept_003839,leadsTo,C_SyntheticConcept_003913,1.0,
C_SyntheticConcept_017895,leadsTo,C_SyntheticConcept_018080,1.0,
C_SyntheticConcept_014250,leadsTo,C_SyntheticConcept_014398,1.0,
C_SyntheticConcept_017108,leadsTo,C_SyntheticConcept_017293,1.0,
C_SyntheticConcept_004512,leadsTo,C_SyntheticConcept_004660,1.0,
C_SyntheticConcept_005085,leadsTo,C_SyntheticConcept_005086,1.0,
C_SyntheticConcept_005427,leadsTo,C_SyntheticConcept_005501,1.0,
C_SyntheticConcept_008190,leadsTo,C_SyntheticConcept_008301,1.0,
C_SyntheticConcept_017285,leadsTo,C_SyntheticConcept_017396,1.0,
C_SyntheticConcept_012934,leadsTo,C_SyntheticConcept_013119,1.0,
C_SyntheticConcept_007328,leadsTo,C_SyntheticConcept_007329,1.0,
C_SyntheticConcept_000081,leadsTo,C_SyntheticConcept_000082,1.0,
C_SyntheticConcept_010135,leadsTo,C_SyntheticConcept_010209,1.0,
C_SyntheticConcept_010884,leadsTo,C_SyntheticConcept_010995,1.0,
C_SyntheticConcept_003992,leadsTo,C_SyntheticConcept_003993,1.0,
C_SyntheticConcept_004123,leadsTo,C_SyntheticConcept_004124,1.0,
C_SyntheticConcept_018916,leadsTo,C_SyntheticConcept_018990,1.0,
C_SyntheticConcept_000327,leadsTo,C_SyntheticConcept_000401,1.0,
C_SyntheticConcept_011344,leadsTo,C_SyntheticConcept_011345,1.0,
C_SyntheticConcept_012782,leadsTo,C_SyntheticConcept_012783,1.0,
C_SyntheticConcept_016087,leadsTo,C_SyntheticConcept_016235,1.0,
C_SyntheticConcept_010436,leadsTo,C_SyntheticConcept_010510,1.0,
C_SyntheticConcept_015367,leadsTo,C_SyntheticConcept_015441,1.0,
C_SyntheticConcept_005303,leadsTo,C_SyntheticConcept_005377,1.0,
C_SyntheticConcept_004155,leadsTo,C_SyntheticConcept_004340,1.0,
C_SyntheticConcept_015114,leadsTo,C_SyntheticConcept_015115,1.0,
C_SyntheticConcept_019699,leadsTo,C_SyntheticConcept_019884,1.0,
C_SyntheticConcept_006259,leadsTo,C_SyntheticConcept_006370,1.0,
C_SyntheticConcept_006550,leadsTo,C_SyntheticConcept_006735,1.0,
C_SyntheticConcept_015018,leadsTo,C_SyntheticConcept_015019,1.0,
C_SyntheticConcept_007040,leadsTo,C_SyntheticConcept_007225,1.0,
C_SyntheticConcept_006570,leadsTo,C_SyntheticConcept_006681,1.0,
C_SyntheticConcept_017102,leadsTo,C_SyntheticConcept_017250,1.0,
C_SyntheticConcept_013452,leadsTo,C_SyntheticConcept_013637,1.0,
C_SyntheticConcept_010545,leadsTo,C_SyntheticConcept_010730,1.0,
C_SyntheticConcept_007700,leadsTo,C_SyntheticConcept_007848,1.0,
C_SyntheticConcept_003224,leadsTo,C_SyntheticConcept_003225,1.0,
C_SyntheticConcept_000723,leadsTo,C_SyntheticConcept_000724,1.0,
C_SyntheticConcept_005922,leadsTo,C_SyntheticConcept_005996,1.0,
C_SyntheticConcept_001813,leadsTo,C_SyntheticConcept_001887,1.0,
C_SyntheticConcept_014250,leadsTo,C_SyntheticConcept_014361,1.0,
C_SyntheticConcept_006824,leadsTo,C_SyntheticConcept_006898,1.0,
C_SyntheticConcept_002082,leadsTo,C_SyntheticConcept_002083,1.0,
C_SyntheticConcept_008856,leadsTo,C_SyntheticConcept_008857,1.0,
C_SyntheticConcept_009472,leadsTo,C_SyntheticConcept_009657,1.0,
C_SyntheticConcept_002638,leadsTo,C_SyntheticConcept_002712,1.0,
C_SyntheticConcept_004541,leadsTo,C_SyntheticConcept_004542,1.0,
C_SyntheticConcept_005743,leadsTo,C_SyntheticConcept_005854,1.0,
C_SyntheticConcept_001225,leadsTo,C_SyntheticConcept_001336,1.0,
C_SyntheticConcept_005951,leadsTo,C_SyntheticConcept_006062,1.0,
C_SyntheticConcept_009092,leadsTo,C_SyntheticConcept_009166,1.0,
C_SyntheticConcept_002532,leadsTo,C_SyntheticConcept_002717,1.0,
C_SyntheticConcept_008006,leadsTo,C_SyntheticConcept_008154,1.0,
C_SyntheticConcept_006393,leadsTo,C_SyntheticConcept_006504,1.0,
C_SyntheticConcept_004091,leadsTo,C_SyntheticConcept_004202,1.0,
C_SyntheticConcept_008012,leadsTo,C_SyntheticConcept_008086,1.0,
C_SyntheticConcept_004655,leadsTo,C_SyntheticConcept_004656,1.0,
C_SyntheticConcept_007976,leadsTo,C_SyntheticConcept_007977,1.0,
C_SyntheticConcept_016128,leadsTo,C_SyntheticConcept_016129,1.0,
C_SyntheticConcept_019977,leadsTo,C_SyntheticConcept_000125,1.0,
C_SyntheticConcept_007076,leadsTo,C_SyntheticConcept_007224,1.0,
C_SyntheticConcept_010725,leadsTo,C_SyntheticConcept_010799,1.0,
C_SyntheticConcept_011727,leadsTo,C_SyntheticConcept_011728,1.0,
C_SyntheticConcept_016342,leadsTo,C_SyntheticConcept_016490,1.0,
C_SyntheticConcept_017750,leadsTo,C_SyntheticConcept_017751,1.0,
C_SyntheticConcept_002138,leadsTo,C_SyntheticConcept_002212,1.0,
C_SyntheticConcept_019302,leadsTo,C_SyntheticConcept_019303,1.0,
C_SyntheticConcept_016349,leadsTo,C_SyntheticConcept_016350,1.0,
C_SyntheticConcept_007939,leadsTo,C_SyntheticConcept_008050,1.0,
C_SyntheticConcept_001467,leadsTo,C_SyntheticConcept_001578,1.0,
C_SyntheticConcept_012502,leadsTo,C_SyntheticConcept_012687,1.0,
C_SyntheticConcept_011631,leadsTo,C_SyntheticConcept_011779,1.0,
C_SyntheticConcept_010030,leadsTo,C_SyntheticConcept_010031,1.0,
C_SyntheticConcept_008872,leadsTo,C_SyntheticConcept_009057,1.0,
C_SyntheticConcept_014289,leadsTo,C_SyntheticConcept_014363,1.0,
C_SyntheticConcept_011441,leadsTo,C_SyntheticConcept_011515,1.0,
C_SyntheticConcept_005271,leadsTo,C_SyntheticConcept_005272,1.0,
C_SyntheticConcept_001109,leadsTo,C_SyntheticConcept_001220,1.0,
C_SyntheticConcept_009125,leadsTo,C_SyntheticConcept_009236,1.0,
C_SyntheticConcept_007899,leadsTo,C_SyntheticConcept_007973,1.0,
C_SyntheticConcept_004938,leadsTo,C_SyntheticConcept_005123,1.0,
C_SyntheticConcept_007190,leadsTo,C_SyntheticConcept_007264,1.0,
C_SyntheticConcept_011911,leadsTo,C_SyntheticConcept_012022,1.0,
C_SyntheticConcept_009343,leadsTo,C_SyntheticConcept_009528,1.0,
C_SyntheticConcept_002737,leadsTo,C_SyntheticConcept_002738,1.0,
C_SyntheticConcept_004806,leadsTo,C_SyntheticConcept_004991,1.0,
C_SyntheticConcept_010810,leadsTo,C_SyntheticConcept_010995,1.0,
C_SyntheticConcept_016802,leadsTo,C_SyntheticConcept_016987,1.0,
C_SyntheticConcept_000131,leadsTo,C_SyntheticConcept_000279,1.0,
C_SyntheticConcept_008614,leadsTo,C_SyntheticConcept_008799,1.0,
C_SyntheticConcept_001060,leadsTo,C_SyntheticConcept_001208,1.0,
C_SyntheticConcept_003684,leadsTo,C_SyntheticConcept_003685,1.0,
C_SyntheticConcept_004710,leadsTo,C_SyntheticConcept_004895,1.0,
C_SyntheticConcept_014072,leadsTo,C_SyntheticConcept_014257,1.0,
C_SyntheticConcept_007930,leadsTo,C_SyntheticConcept_008078,1.0,
C_SyntheticConcept_006806,leadsTo,C_SyntheticConcept_006991,1.0,
C_SyntheticConcept_017191,leadsTo,C_SyntheticConcept_017376,1.0,
C_SyntheticConcept_017687,leadsTo,C_SyntheticConcept_017872,1.0,
C_SyntheticConcept_018977,leadsTo,C_SyntheticConcept_019051,1.0,
C_SyntheticConcept_003052,leadsTo,C_SyntheticConcept_003163,1.0,
C_SyntheticConcept_004768,leadsTo,C_SyntheticConcept_004953,1.0,
C_SyntheticConcept_013392,leadsTo,C_SyntheticConcept_013577,1.0,
C_SyntheticConcept_018090,leadsTo,C_SyntheticConcept_018238,1.0,
C_SyntheticConcept_000368,leadsTo,C_SyntheticConcept_000369,1.0,
C_SyntheticConcept_016338,leadsTo,C_SyntheticConcept_016449,1.0,
C_SyntheticConcept_016503,leadsTo,C_SyntheticConcept_016688,1.0,
C_SyntheticConcept_007214,leadsTo,C_SyntheticConcept_007399,1.0,
C_SyntheticConcept_013407,leadsTo,C_SyntheticConcept_013518,1.0,
C_SyntheticConcept_019038,leadsTo,C_SyntheticConcept_019223,1.0,
C_SyntheticConcept_013034,leadsTo,C_SyntheticConcept_013145,1.0,
C_SyntheticConcept_012160,leadsTo,C_SyntheticConcept_012308,1.0,
C_SyntheticConcept_012275,leadsTo,C_SyntheticConcept_012460,1.0,
C_SyntheticConcept_001633,leadsTo,C_SyntheticConcept_001707,1.0,
C_SyntheticConcept_001712,leadsTo,C_SyntheticConcept_001786,1.0,
C_SyntheticConcept_008945,leadsTo,C_SyntheticConcept_008946,1.0,
C_SyntheticConcept_019314,leadsTo,C_SyntheticConcept_019315,1.0,
C_SyntheticConcept_016992,leadsTo,C_SyntheticConcept_016993,1.0,
C_SyntheticConcept_003645,leadsTo,C_SyntheticConcept_003646,1.0,
C_SyntheticConcept_001376,leadsTo,C_SyntheticConcept_001561,1.0,
C_SyntheticConcept_018053,leadsTo,C_SyntheticConcept_018201,1.0,
C_SyntheticConcept_016264,leadsTo,C_SyntheticConcept_016449,1.0,
C_SyntheticConcept_007482,leadsTo,C_SyntheticConcept_007630,1.0,
C_SyntheticConcept_000316,leadsTo,C_SyntheticConcept_000317,1.0,
C_SyntheticConcept_016896,leadsTo,C_SyntheticConcept_017007,1.0,
C_SyntheticConcept_002205,leadsTo,C_SyntheticConcept_002206,1.0,
C_SyntheticConcept_009748,leadsTo,C_SyntheticConcept_009749,1.0,
C_SyntheticConcept_008902,leadsTo,C_SyntheticConcept_008903,1.0,
C_SyntheticConcept_002983,leadsTo,C_SyntheticConcept_003168,1.0,
C_SyntheticConcept_010265,leadsTo,C_SyntheticConcept_010450,1.0,
C_SyntheticConcept_001108,leadsTo,C_SyntheticConcept_001256,1.0,
C_SyntheticConcept_017954,leadsTo,C_SyntheticConcept_017955,1.0,
C_SyntheticConcept_009299,leadsTo,C_SyntheticConcept_009447,1.0,
C_SyntheticConcept_012685,leadsTo,C_SyntheticConcept_012796,1.0,
C_SyntheticConcept_000224,leadsTo,C_SyntheticConcept_000372,1.0,
C_SyntheticConcept_008830,leadsTo,C_SyntheticConcept_008941,1.0,
C_SyntheticConcept_011069,leadsTo,C_SyntheticConcept_011070,1.0,
C_SyntheticConcept_005388,leadsTo,C_SyntheticConcept_005462,1.0,
C_SyntheticConcept_014797,leadsTo,C_SyntheticConcept_014871,1.0,
C_SyntheticConcept_018595,leadsTo,C_SyntheticConcept_018596,1.0,
C_SyntheticConcept_003993,leadsTo,C_SyntheticConcept_004141,1.0,
C_SyntheticConcept_010639,leadsTo,C_SyntheticConcept_010640,1.0,
C_SyntheticConcept_010725,leadsTo,C_SyntheticConcept_010836,1.0,
C_SyntheticConcept_005203,leadsTo,C_SyntheticConcept_005277,1.0,
C_SyntheticConcept_014573,leadsTo,C_SyntheticConcept_014721,1.0,
C_SyntheticConcept_011209,leadsTo,C_SyntheticConcept_011320,1.0,
C_SyntheticConcept_012366,leadsTo,C_SyntheticConcept_012440,1.0,
C_SyntheticConcept_006390,leadsTo,C_SyntheticConcept_006575,1.0,
C_SyntheticConcept_014969,leadsTo,C_SyntheticConcept_014970,1.0,
C_SyntheticConcept_019800,leadsTo,C_SyntheticConcept_019948,1.0,
C_SyntheticConcept_010471,leadsTo,C_SyntheticConcept_010656,1.0,
C_SyntheticConcept_004882,leadsTo,C_SyntheticConcept_004883,1.0,
C_SyntheticConcept_009454,leadsTo,C_SyntheticConcept_009565,1.0,
C_SyntheticConcept_010744,leadsTo,C_SyntheticConcept_010892,1.0,
C_SyntheticConcept_014552,leadsTo,C_SyntheticConcept_014626,1.0,
C_SyntheticConcept_010786,leadsTo,C_SyntheticConcept_010787,1.0,
C_SyntheticConcept_018777,leadsTo,C_SyntheticConcept_018962,1.0,
C_SyntheticConcept_002616,leadsTo,C_SyntheticConcept_002764,1.0,
C_SyntheticConcept_008986,leadsTo,C_SyntheticConcept_009171,1.0,
C_SyntheticConcept_008337,leadsTo,C_SyntheticConcept_008522,1.0,
C_SyntheticConcept_015062,leadsTo,C_SyntheticConcept_015063,1.0,
C_SyntheticConcept_013240,leadsTo,C_SyntheticConcept_013388,1.0,
C_SyntheticConcept_010856,leadsTo,C_SyntheticConcept_010930,1.0,
C_SyntheticConcept_018534,leadsTo,C_SyntheticConcept_018719,1.0,
C_SyntheticConcept_007297,leadsTo,C_SyntheticConcept_007298,1.0,
C_SyntheticConcept_019287,leadsTo,C_SyntheticConcept_019288,1.0,
C_SyntheticConcept_015485,leadsTo,C_SyntheticConcept_015596,1.0,
C_SyntheticConcept_011678,leadsTo,C_SyntheticConcept_011863,1.0,
C_SyntheticConcept_015644,leadsTo,C_SyntheticConcept_015645,1.0,
C_SyntheticConcept_018499,leadsTo,C_SyntheticConcept_018647,1.0,
C_SyntheticConcept_012426,leadsTo,C_SyntheticConcept_012574,1.0,
C_SyntheticConcept_001483,leadsTo,C_SyntheticConcept_001631,1.0,
C_SyntheticConcept_016488,leadsTo,C_SyntheticConcept_016673,1.0,
C_SyntheticConcept_009956,leadsTo,C_SyntheticConcept_009957,1.0,
C_SyntheticConcept_018362,leadsTo,C_SyntheticConcept_018363,1.0,
C_SyntheticConcept_003954,leadsTo,C_SyntheticConcept_004102,1.0,
C_SyntheticConcept_003245,leadsTo,C_SyntheticConcept_003246,1.0,
C_SyntheticConcept_009148,leadsTo,C_SyntheticConcept_009333,1.0,
C_SyntheticConcept_005405,leadsTo,C_SyntheticConcept_005553,1.0,
C_SyntheticConcept_019414,leadsTo,C_SyntheticConcept_019525,1.0,
C_SyntheticConcept_000580,leadsTo,C_SyntheticConcept_000581,1.0,
C_SyntheticConcept_009892,leadsTo,C_SyntheticConcept_010077,1.0,
C_SyntheticConcept_001218,leadsTo,C_SyntheticConcept_001292,1.0,
C_SyntheticConcept_018360,leadsTo,C_SyntheticConcept_018361,1.0,
C_SyntheticConcept_012244,leadsTo,C_SyntheticConcept_012355,1.0,
C_SyntheticConcept_009292,leadsTo,C_SyntheticConcept_009403,1.0,
C_SyntheticConcept_005207,leadsTo,C_SyntheticConcept_005281,1.0,
C_SyntheticConcept_001117,leadsTo,C_SyntheticConcept_001265,1.0,
C_SyntheticConcept_012806,leadsTo,C_SyntheticConcept_012880,1.0,
C_SyntheticConcept_006567,leadsTo,C_SyntheticConcept_006641,1.0,
C_SyntheticConcept_007780,leadsTo,C_SyntheticConcept_007928,1.0,
C_SyntheticConcept_001568,leadsTo,C_SyntheticConcept_001679,1.0,
C_SyntheticConcept_019709,leadsTo,C_SyntheticConcept_019783,1.0,
C_SyntheticConcept_010038,leadsTo,C_SyntheticConcept_010112,1.0,
C_SyntheticConcept_018842,leadsTo,C_SyntheticConcept_018953,1.0,
C_SyntheticConcept_001088,leadsTo,C_SyntheticConcept_001236,1.0,
C_SyntheticConcept_002559,leadsTo,C_SyntheticConcept_002670,1.0,
C_SyntheticConcept_008270,leadsTo,C_SyntheticConcept_008455,1.0,
C_SyntheticConcept_002979,leadsTo,C_SyntheticConcept_003090,1.0,
C_SyntheticConcept_018791,leadsTo,C_SyntheticConcept_018939,1.0,
C_SyntheticConcept_008572,leadsTo,C_SyntheticConcept_008720,1.0,
C_SyntheticConcept_016067,leadsTo,C_SyntheticConcept_016178,1.0,
C_SyntheticConcept_018315,leadsTo,C_SyntheticConcept_018500,1.0,
C_SyntheticConcept_019043,leadsTo,C_SyntheticConcept_019228,1.0,
C_SyntheticConcept_002416,leadsTo,C_SyntheticConcept_002527,1.0,
C_SyntheticConcept_017660,leadsTo,C_SyntheticConcept_017845,1.0,
C_SyntheticConcept_013667,leadsTo,C_SyntheticConcept_013741,1.0,
